timestamp,transcription,intent,machine_id,order_number,employee_id,instandhaltungsobjekt,kurzbeschreibung,name_instandhaltungsobjekt
2025-10-08 10:49:22,Nameinstandhaltungobjekteg-stapsauger kellerhat dieanlagezentrale stapsaugeranlageinstandhaltungobjektll01-ln01-pz00kurzbeschreibungheißtstromüberwachung-gala-lochplattecleaner-medical,report,ln01,,,,,
2025-10-08 10:49:22,Nameinstandhaltungobjekteg-stapsauger kellerhat dieanlagezentrale stapsaugeranlageinstandhaltungobjektll01-ln01-pz00kurzbeschreibungheißtstromüberwachung-gala-lochplattecleaner-medical,report,ln01,,,,,
2025-10-08 10:57:18,Ininstandhaltungsobjekt ll01-lr01-pc00 kursbeschreibung-heizstromüberwachung galalochplattecleanermedical,report,ll01 lr01 pc00,,,ll01 lr01 pc00,,
2025-10-08 10:57:18,Ininstandhaltungsobjekt ll01-lr01-pc00 kursbeschreibung-heizstromüberwachung galalochplattecleanermedical,report,ll01 lr01 pc00,,,ll01 lr01 pc00,,
2025-10-08 10:57:48,Kurzbeschreibunghöhe vom siebwechseler passtnicht,unknown,,,,,höhe vom siebwechseler passtnicht,
2025-10-08 10:57:48,Kurzbeschreibunghöhe vom siebwechseler passtnicht,unknown,,,,,höhe vom siebwechseler passtnicht,
2025-10-08 10:58:05,Kurzbeschreibunghöhe vom siebwechseler passtnicht,unknown,,,,,höhe vom siebwechseler passtnicht,
2025-10-08 10:58:05,Kurzbeschreibunghöhe vom siebwechseler passtnicht,unknown,,,,,höhe vom siebwechseler passtnicht,
2025-10-08 10:58:26,Nameininstandhaltungobjekt junghahnrich-ek-x-516t3 und 70versandininstandhaltungobjektEL08-rw01-s-r01kurzbeschreibungblindstopfen ölanspritzung kopfabgerissenaustausch tc8ajz und der strichb100,report,ek x 516t3,,,,,
2025-10-08 10:58:27,Nameininstandhaltungobjekt junghahnrich-ek-x-516t3 und 70versandininstandhaltungobjektEL08-rw01-s-r01kurzbeschreibungblindstopfen ölanspritzung kopfabgerissenaustausch tc8ajz und der strichb100,report,ek x 516t3,,,,,
2025-10-08 11:08:13,Ininstandhaltungsobjekt ll01-lr01-pc00 kursbeschreibung-heizstromüberwachung gala lochplatte cleaner medical,report,ll01 lr01 pc00,,,lr01 pc00,gala lochplatte,
2025-10-08 11:08:14,Ininstandhaltungsobjekt ll01-lr01-pc00 kursbeschreibung-heizstromüberwachung gala lochplatte cleaner medical,report,ll01 lr01 pc00,,,lr01 pc00,gala lochplatte,
2025-10-08 11:16:42,Kurzbeschreibung höhe vom siebwechseler passt nicht,unknown,,,,,Höhe vom Siebwechsler passt nicht,
2025-10-08 11:16:43,Kurzbeschreibung höhe vom siebwechseler passt nicht,unknown,,,,,Höhe vom Siebwechsler passt nicht,
2025-10-08 11:19:21,Name ininstandhaltung objekt öldosierwagetzehnte-ininstandhaltung objekt ll08-r01 kurzbeschreibung stoppfer in der staubsaugerleitung,unknown,ll08,,,,Stopfer in der Staubsaugerleitung,
2025-10-08 11:19:22,Name inin standhaltung objekt öldosierwagetzehnte-ininstand haltung objekt ll08-r 01 kurz beschreibung stoppfer in der staubsaugerleitung,unknown,ll08 r 01,,,,Stopfer in der Staubsaugerleitung,
2025-10-08 11:49:19,Namer-ininstandhaltung objekt öldosier-wagezente-ininstandhaltung objekt l081 kurzbeschreibung stoppfer in der staubsaugerleitung,unknown,l081,,,,Stopfer in der Staubsaugerleitung,
2025-10-08 11:49:21,Namer-ininstandhaltung objekt öldosier-wagezente-ininstandhaltung objekt l081 kurz beschreibung stoppfer in der staubsaugerleitung,unknown,l081,,,,Stopfer in der Staubsaugerleitung,
2025-10-08 11:50:13,"Name in instandhaltung objekt, eg-stopsauger keller hd anlage zentrale stopsauger anlage. In instandhaltung objekt ll01-lr01-pc00-null kurzbeschreibung heißt stromüberwachung-gala-lochplatte cleaner-medike",report,LL01-LR01-PC00,,,LL1-LR1-PC0-null kurzbeschreibung,,eg-stopsauger keller
2025-10-08 11:50:13,"Name in instandhaltung objekt, eg-stopsauger keller hd anlage zentrale stopsauger anlage. In instandhaltung objekt ll01 -lr01-pc00-null kurzbeschreibung heißt stromüberwachung-gala-lochplatte cleaner-medike",report,ll01,,,ll01,,eg-stopsauger keller
